FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
RAZ;REDES;18/05/2020;20:08:01;CBN;GOBIERNO;;;;OK;;OK;DONACION;Entregado;"#LaPaz 
1.590 trajes de bioseguridad, 15.000 guantes de l·tex, 15.000 guantes de nitrito, 20.416 litros de alcohol medicinal, 5.000 barbijos N95, 15.000 batas quir˙rgicas, entre otros, forma parte de la donaciÛn."
RAZ;REDES;18/05/2020;17:20:43;PRIVADO;GOBIERNO;;;;;;OK;DONACION;Entregado;"#Lo⁄ltimo
#LaPaz
Im·genes del momento en que la CBN entrega la donaciÛn de material de bioseguridad a la presidenta Jeanine √ÅÒez "
RAZ;REDES;18/05/2020;16:23:24;GOBIERNO;LA PAZ;;;OK;;;OK;COMPRA;Entregado;"#VideoNoticias
La gobernacionlp entregÛ c·maras de desinfecciÛn y equipos de bioseguridad a 15 municipios, en la poblaciÛn de Konani. Fuente: Prensa GobernaciÛn "
BOL;REDES;19/05/2020;23:12:11;GOBIERNO;SANTA CRUZ;15;;;;OK;;COMPRA;Entregado;Lo˙ltimo.  Con la presencia de los Ministros de Salud, Gobierno y Presidencia se hicieron entrega 15 respiradores convencionales para terapia intensiva en el Hospital San Juan de Dios de Santa Cruz de la Sierra.  Los mismos estar·n destinados a pacientes afectados por Covid 19. 
BTV;REDES;19/05/2020;21:34:49;GOBIERNO;SANTA CRUZ;15;;;;OK;;COMPRA;Entregado;"#EnVivo 
Autoridades de Gobierno visitan el Hospital San Juan de Dios en #SantaCruz donde se entrega 15 respiradores convencionales. "
BTV;REDES;19/05/2020;13:48:45;PRIVADO;BENI;;;;OK;;;DONACION;Entregado;"La AsociaciÛn de Ganaderos entrega 600 dosis de ivermectina al Comando Policial de #Riberalta, realizando una desinfecciÛn masiva a 850 efectivos para hacer frente a esta pandemia. 
#Salud
"
BTV;REDES;19/05/2020;15:28:34;PRIVADO;COCHABAMBA;;;;OK;;;DONACION;Entregado;"La directora del RÈgimen Penitenciario de #Cochabamba, Pamela Su·rez, realizÛ la entrega de insumos de bioseguridad y limpieza, asÌ como alimentos secos al penal de San Sebasti·n para los privados de libertad.
#Salud
"
BTV;REDES;19/05/2020;17:44:16;PRIVADO;GOBIERNO;;2000000;;;;;DONACION;Entregado;"La Iglesia de Jesucristo de los Santos de los ⁄ltimos DÌas hace la entrega de donativos a GestiÛn Social de la Presidencia valuados en m·s de Bs. 2 millones. 
#Salud
"
UNI;REDES;19/05/2020;17:58:51;GOBIERNO;SANTA CRUZ;5;;;;OK;;COMPRA;Entregado;Cinco respiradores fueron entregados a la Caja Nacional de Salud en Santa Cruz
UNI;REDES;19/05/2020;20:06:21;GOBIERNO;POTOSI;;;;;;;COMPRA;Entregado;Entregan equipos de bioseguridad para Aapos en PotosÌ
